Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.11-2.23.209.182-52016-443-6,192.168.0.11,52016,2.23.209.182,443,6,16/04/2023 08:55:54 pm,9607159,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.20817808886060907,9607159.0,0.0,9607159.0,9607159.0,9607159.0,9607159.0,0.0,9607159.0,9607159.0,0,0,0,0,0,0,0,0,0,40,0,0.20817808886060907,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1021,0,0,20,0,0,0,0,9607159.0,0.0,9607159.0,9607159.0,No Label
192.168.0.11-44.209.97.165-52408-443-6,192.168.0.11,52408,44.209.97.165,443,6,16/04/2023 08:56:27 pm,1628548,9,14,1615.0,5742.0,517.0,0.0,179.44444444444446,254.00792857266836,1460.0,0.0,410.14285714285705,593.0638643963626,4517.521129251333,14.123010190672918,74024.90909090909,165874.27573284562,597802.0,0.0,1628548.0,203568.5,229230.10517257234,597802.0,242.0,1426695.0,109745.76923076925,345525.35513768834,1248490.0,0.0,0,0,0,0,192,292,5.526395292002446,8.596614898670472,0.0,1460.0,306.5416666666667,488.0394655430401,238182.51992753622,0,2,0,12,22,0,0,0,1.0,319.8695652173913,179.44444444444446,410.14285714285717,0,0,0,0,15,5157,0,70,0,249,64240,110,4,20,0,0,0,0,1.6816677882485748E15,461191.7235958044,1.681667788630728E15,1.681667787002235E15,No Label
23.215.190.75-192.168.0.11-443-52117-6,23.215.190.75,443,192.168.0.11,52117,6,16/04/2023 08:55:54 pm,190835,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.720386721513348,95417.5,134802.12965862223,190737.0,98.0,190835.0,190835.0,0.0,190835.0,190835.0,0,0,0,0,0,0,0,0,0,40,20,10.480257814342233,5.240128907171116,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,513,0,20,0,0,0,0,1.681667754643253E15,0.0,1.681667754643253E15,1.681667754643253E15,No Label
192.168.0.9-239.255.255.250-43173-1900-17,192.168.0.9,43173,239.255.255.250,1900,17,16/04/2023 08:56:33 pm,512842,6,0,1620.0,0.0,302.0,235.0,270.0,34.56587912956938,0,0,0,0,3158.8676434457393,11.699509790539777,102568.4,176097.7317182138,407858.0,1074.0,512842.0,102568.4,176097.7317182138,407858.0,1074.0,0,0,0,0,0,0,0,0,0,48,0,11.699509790539777,0.0,235.0,302.0,265.0,34.21500645428357,1170.6666666666663,0,0,0,0,0,0,0,0,0.0,309.1666666666667,270.0,0.0,0,0,0,0,6,3158,1,270,0,0,0,0,5,8,0,0,0,0,1.6816677934732122E15,225472.12583136893,1.681667793650666E15,1.68166779314262E15,No Label
192.168.0.9-239.255.255.250-34757-1900-17,192.168.0.9,34757,239.255.255.250,1900,17,16/04/2023 08:56:47 pm,718641,8,0,2252.0,0.0,312.0,235.0,281.5,35.896677124372225,0,0,0,0,3133.692622602941,11.132122993260891,102663.0,101857.4337476979,306103.0,528.0,718641.0,102663.0,101857.4337476979,306103.0,528.0,0,0,0,0,0,0,0,0,0,64,0,11.132122993260891,0.0,235.0,312.0,276.33333333333326,36.98310425045471,1367.7500000000011,0,0,0,0,0,0,0,0,0.0,310.875,281.5,0.0,0,0,0,0,8,3133,1,281,0,0,0,0,7,8,0,0,0,0,1.681667807628977E15,191959.3272482291,1.681667807885647E15,1.681667807373444E15,No Label
192.168.0.9-239.255.255.250-40907-1900-17,192.168.0.9,40907,239.255.255.250,1900,17,16/04/2023 08:56:27 pm,836610,12,0,3410.0,0.0,312.0,235.0,284.1666666666667,32.710391268978995,0,0,0,0,4075.9732730902097,14.343600961021265,76055.45454545454,66864.09796200594,205624.0,4.0,836610.0,76055.45454545454,66864.09796200594,205624.0,4.0,0,0,0,0,0,0,0,0,0,96,0,14.343600961021265,0.0,235.0,312.0,281.2307692307692,33.058417602162606,1092.8589743589746,0,0,0,0,0,0,0,0,0.0,304.6666666666667,284.1666666666667,0.0,0,0,0,0,12,4075,1,284,0,0,0,0,11,8,0,0,0,0,1.6816677878166102E15,267087.6951883634,1.681667788241129E15,1.681667787404974E15,No Label
192.168.0.9-239.255.255.250-54273-1900-17,192.168.0.9,54273,239.255.255.250,1900,17,16/04/2023 08:56:08 pm,512895,3,0,866.0,0.0,310.0,246.0,288.6666666666667,36.95041722813605,0,0,0,0,1688.4547519472796,5.8491504109028165,256447.5,73040.59496266443,308095.0,204800.0,512895.0,256447.5,73040.59496266443,308095.0,204800.0,0,0,0,0,0,0,0,0,0,24,0,5.8491504109028165,0.0,246.0,310.0,294.0,31.999999999999993,1023.9999999999997,0,0,0,0,0,0,0,0,0.0,392.0,288.6666666666667,0.0,0,0,0,0,0,0,1,288,0,0,0,0,2,8,0,0,0,0,1.681667768359001E15,0.0,1.681667768359001E15,1.681667768359001E15,No Label
192.168.0.11-13.107.5.80-52405-443-6,192.168.0.11,52405,13.107.5.80,443,6,16/04/2023 08:56:11 pm,45684642,11,17,1337.0,9649.0,592.0,0.0,121.54545454545456,205.33892160833207,1460.0,0.0,567.5882352941178,672.2416844803223,240.47468731395554,0.6128974371737443,1692023.7777777778,8656626.200121768,4.500639E7,0.0,4.5538161E7,4553816.1,1.4217620461434469E7,4.5017427E7,68.0,4.5508875E7,2844304.6875,1.1282375707687654E7,4.5152871E7,0.0,0,0,0,0,232,364,0.24078113603254242,0.3721163011412019,0.0,1460.0,378.82758620689657,571.0125135584982,326055.2906403941,0,2,0,11,27,0,0,0,1.0,392.35714285714283,121.54545454545455,567.5882352941177,0,0,0,0,15,31879,0,47,0,344,64240,16379,6,20,0,0,0,0,1.6816677740518505E15,8857561.339743072,1.681667817474381E15,1.681667771947377E15,No Label
192.168.0.11-213.140.213.169-52019-443-6,192.168.0.11,52019,213.140.213.169,443,6,16/04/2023 08:55:54 pm,9607149,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.20817830555141803,9607149.0,0.0,9607149.0,9607149.0,9607149.0,9607149.0,0.0,9607149.0,9607149.0,0,0,0,0,0,0,0,0,0,40,0,0.20817830555141803,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1023,0,0,20,0,0,0,0,9607149.0,0.0,9607149.0,9607149.0,No Label
192.168.0.11-2.18.61.16-52450-443-6,192.168.0.11,52450,2.18.61.16,443,6,16/04/2023 08:56:48 pm,6746564,178,357,43002.0,473345.0,1460.0,0.0,241.5842696629215,527.2569525273674,1460.0,0.0,1325.8963585434174,397.29020739403694,76534.81090522524,79.29962570576667,12634.014981273405,122362.33392827635,2412505.0,0.0,6746564.0,38116.180790960454,210719.9240625647,2412505.0,2.0,2207467.0,6200.750000000002,37554.92915877252,455217.0,0.0,0,0,0,0,4244,7692,26.383800702105546,52.91582500366112,0.0,1460.0,963.3339552238804,678.0638560919948,459770.59293834545,0,2,0,192,534,0,0,0,2.0,965.1345794392523,241.58426966292134,1325.8963585434174,0,0,0,0,372,169403,0,80,0,884,64240,501,36,20,0,0,0,0,1.6816678098135455E15,543271.587846819,1.681667814055449E15,1.681667808520968E15,No Label
