Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.11-157.240.20.15-52045-443-6,192.168.0.11,52045,157.240.20.15,443,6,16/04/2023 08:54:15 pm,221480,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,139.9674914213473,18.060321473722233,73826.66666666667,112845.18346980226,203735.0,103.0,203838.0,203838.0,0.0,203838.0,203838.0,17745.0,17745.0,0.0,17745.0,17745.0,0,0,0,0,40,40,9.030160736861117,9.030160736861117,0.0,31.0,6.2,13.863621460498697,192.20000000000002,2,0,1,1,4,0,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,0,0,0,7,513,272,0,20,0,0,0,0,1.681667655313622E15,0.0,1.681667655313622E15,1.681667655313622E15,No Label
213.140.213.169-192.168.0.11-443-52019-6,213.140.213.169,443,192.168.0.11,52019,6,16/04/2023 08:54:21 pm,2,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1.55E7,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,1,0,0,0,40,0,1000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-213.140.213.169-52019-443-6,192.168.0.11,52019,213.140.213.169,443,6,16/04/2023 08:54:21 pm,740,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2702.702702702703,740.0,0.0,740.0,740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1351.3513513513515,1351.3513513513515,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1023,501,0,20,0,0,0,0,0,0,0,0,No Label
2.23.209.182-192.168.0.11-443-51999-6,2.23.209.182,443,192.168.0.11,51999,6,16/04/2023 08:54:23 pm,14906,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,2079.6994498859517,201.26123708573726,7453.0,10415.682886877845,14818.0,88.0,14906.0,14906.0,0.0,14906.0,14906.0,0,0,0,0,0,1,0,0,0,40,20,134.1741580571582,67.0870790285791,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,0,1,3,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,10,0,0,638,1023,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-157.240.20.15-52118-443-6,192.168.0.11,52118,157.240.20.15,443,6,16/04/2023 08:54:27 pm,163496,2,3,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,470.9595341782062,30.581787933649753,40874.0,81383.67026211912,162949.0,1.0,162982.0,162982.0,0.0,162982.0,162982.0,547.0,273.5,385.3731957466684,546.0,1.0,0,0,0,0,40,60,12.232715173459901,18.349072760189852,0.0,46.0,12.833333333333334,20.439341150503523,417.7666666666667,2,0,1,2,5,0,0,0,1.0,15.4,0.0,25.666666666666668,0,0,0,0,0,0,0,0,0,15,1022,261,0,20,0,0,0,0,1.6816676676218425E15,115561.75414253627,1.681667667703557E15,1.681667667540128E15,No Label
192.168.0.11-20.42.65.88-52107-443-6,192.168.0.11,52107,20.42.65.88,443,6,16/04/2023 08:54:07 pm,23810604,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0419980946304428,0.1259942838913284,1.1905302E7,1.6456296714442225E7,2.3541661E7,268943.0,2.3810604E7,2.3810604E7,0.0,2.3810604E7,2.3810604E7,0,0,0,0,0,0,0,0,0,40,32,0.0839961892608856,0.0419980946304428,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,1,0,0,0,3,0,0,0,0.0,0.6666666666666666,0.5,0.0,0,0,0,0,0,0,0,0,0,0,517,2050,0,20,0,0,0,0,2.3272718E7,0.0,2.3272718E7,2.3272718E7,No Label
192.168.0.11-20.42.65.88-52105-443-6,192.168.0.11,52105,20.42.65.88,443,6,16/04/2023 08:54:07 pm,22997871,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.04348228581680452,0.13044685745041357,1.14989355E7,1.5750094322828816E7,2.2635934E7,361937.0,2.2997871E7,2.2997871E7,0.0,2.2997871E7,2.2997871E7,0,0,0,0,0,0,0,0,0,40,32,0.08696457163360904,0.04348228581680452,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,1,0,0,0,3,0,0,0,0.0,0.6666666666666666,0.5,0.0,0,0,0,0,0,0,0,0,0,0,517,2050,0,20,0,0,0,0,2.2273997E7,0.0,2.2273997E7,2.2273997E7,No Label
192.168.0.11-20.42.65.88-52103-443-6,192.168.0.11,52103,20.42.65.88,443,6,16/04/2023 08:54:10 pm,20494780,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.04879291214640997,0.1463787364392299,1.024739E7,1.4173944115175847E7,2.0269882E7,224898.0,2.049478E7,2.049478E7,0.0,2.049478E7,2.049478E7,0,0,0,0,0,0,0,0,0,40,32,0.09758582429281994,0.04879291214640997,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,1,0,0,0,3,0,0,0,0.0,0.6666666666666666,0.5,0.0,0,0,0,0,0,0,0,0,0,0,517,2050,0,20,0,0,0,0,2.0044984E7,0.0,2.0044984E7,2.0044984E7,No Label
192.168.0.11-13.107.246.62-52092-443-6,192.168.0.11,52092,13.107.246.62,443,6,16/04/2023 08:54:03 pm,27297645,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.03663319674645926,0.1098995902393778,1.36488225E7,1.90066731893699E7,2.708857E7,209075.0,2.7297645E7,2.7297645E7,0.0,2.7297645E7,2.7297645E7,0,0,0,0,0,0,0,0,0,40,32,0.07326639349291852,0.03663319674645926,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,1,0,0,0,3,0,0,0,0.0,0.6666666666666666,0.5,0.0,0,0,0,0,0,0,0,0,0,0,512,16382,0,20,0,0,0,0,2.6879495E7,0.0,2.6879495E7,2.6879495E7,No Label
192.168.0.11-204.79.197.219-52099-443-6,192.168.0.11,52099,204.79.197.219,443,6,16/04/2023 08:54:06 pm,24918706,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.040130494737567836,0.1203914842127035,1.2459353E7,1.741157393419469E7,2.4771195E7,147511.0,2.4918706E7,2.4918706E7,0.0,2.4918706E7,2.4918706E7,0,0,0,0,0,0,0,0,0,40,32,0.08026098947513567,0.040130494737567836,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,1,0,0,0,3,0,0,0,0.0,0.6666666666666666,0.5,0.0,0,0,0,0,0,0,0,0,0,0,515,16382,0,20,0,0,0,0,2.4623684E7,0.0,2.4623684E7,2.4623684E7,No Label
192.168.0.11-204.79.197.219-52100-443-6,192.168.0.11,52100,204.79.197.219,443,6,16/04/2023 08:54:06 pm,24687780,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.04050586970557903,0.1215176091167371,1.234389E7,1.7141604807778355E7,2.4464835E7,222945.0,2.468778E7,2.468778E7,0.0,2.468778E7,2.468778E7,0,0,0,0,0,0,0,0,0,40,32,0.08101173941115807,0.04050586970557903,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,1,0,0,0,3,0,0,0,0.0,0.6666666666666666,0.5,0.0,0,0,0,0,0,0,0,0,0,0,515,8192,0,20,0,0,0,0,2.424189E7,0.0,2.424189E7,2.424189E7,No Label
